,Company Name,Website Link,Phone Number_1,Phone Number_2,Address,Google Link
24,Soft Solutions,https://www.softsolutions.com.pk/,Phone number 1 not found.,Phone number 2 not found.,"10-C Commercial, Block C PIA Housing Society, Lahore, 54000",https://www.google.com/maps/place/Soft+Solutions/data=!4m7!3m6!1s0x39190459727a70fb:0x57d6cc0424986466!8m2!3d31.4495018!4d74.2806455!16s%2Fg%2F1tfsft1r!19sChIJ-3B6clkEGTkRZmSYJATM1lc?authuser=0&hl=en&rclk=1
25,zAmtech Software House,https://technolyte.com/,Phone number 1 not found.,Phone number 2 not found.,"Mega Tower, Office no 19, M1, 19 Main Boulevard Gulberg, Main Gulberg, Lahore, Punjab",https://www.google.com/maps/place/zAmtech+Software+House/data=!4m7!3m6!1s0x39190537659c9d4f:0x79a6a1854092357f!8m2!3d31.5278276!4d74.3493734!16s%2Fg%2F11g727tx_r!19sChIJT52cZTcFGTkRfzWSQIWhpnk?authuser=0&hl=en&rclk=1
26,Rana Technologies. Web Development Lahore | Software House,https://www.ranatechnologies.com/,Phone number 1 not found.,Phone number 2 not found.,"Al Hafeez Shopping Mall, Suite # 410, 4th Floor, Main Blvd Gulberg, Block D1 Gulberg III, Lahore, Punjab",https://www.google.com/maps/place/Rana+Technologies.+Web+Development+Lahore+%7C+Software+House/data=!4m7!3m6!1s0x3919045972400001:0x80dc73fd9140f114!8m2!3d31.5139698!4d74.3433629!16s%2Fg%2F1hc1nvwxb!19sChIJAQBAclkEGTkRFPFAkf1z3IA?authuser=0&hl=en&rclk=1
27,techcreatix,http://www.techcreatix.com/,Phone number 1 not found.,Phone number 2 not found.,"1st Floor, Office#33, IT Tower, 73-E-1, Hali Road, Gulberg 3, Lahore, Block E 1 Gulberg III, Lahore, Punjab 54810",https://www.google.com/maps/place/techcreatix/data=!4m7!3m6!1s0x3919045f2cb4f16d:0xb140895f029f3791!8m2!3d31.515761!4d74.34085!16s%2Fg%2F11dxl8vs2z!19sChIJbfG0LF8EGTkRkTefAl-JQLE?authuser=0&hl=en&rclk=1
28,Spadasoft Software Development Company,http://www.spadasoft.com/,0325 1041041,Phone number 2 not found.,"234-C PIA Main Boulevard, Block C Phase 1 Johar Town, Lahore, Punjab 54770",https://www.google.com/maps/place/Spadasoft+Software+Development+Company/data=!4m7!3m6!1s0x39190775e5c27477:0x616ebd57d4511399!8m2!3d31.4570076!4d74.2949691!16s%2Fg%2F11htqbvd3_!19sChIJd3TC5XUHGTkRmRNR1Fe9bmE?authuser=0&hl=en&rclk=1
29,eWorx International,http://www.eworxintl.com/,(042) 35315093,Phone number 2 not found.,"51-A Samsani Rd, Block F2 Block F 2 Phase 1 Johar Town, Lahore, Punjab",https://www.google.com/maps/place/eWorx+International/data=!4m7!3m6!1s0x391903d9f3310e53:0x355a5452f22209a5!8m2!3d31.470457!4d74.2784194!16s%2Fg%2F12mkw9dkk!19sChIJUw4x89kDGTkRpQki8lJUWjU?authuser=0&hl=en&rclk=1
30,Vaival Technologies,https://www.vaival.com/,Phone number 1 not found.,Phone number 2 not found.,"98/4 new, Babar Block Garden Town, Lahore, Punjab 54000",https://www.google.com/maps/place/Vaival+Technologies/data=!4m7!3m6!1s0x3919046dd3628e13:0xe478b9c91a5a1c91!8m2!3d31.4988798!4d74.3264235!16s%2Fg%2F11c6fb1zgj!19sChIJE45i020EGTkRkRxaGsm5eOQ?authuser=0&hl=en&rclk=1
31,KeyDevs Technologies Pvt. Ltd. Lahore,https://keydevs.pk/,0321 7851671,Phone number 2 not found.,"30-B, Johar, Malik Tufail Rd, Block B1 Block A 1 Phase 1 Town, Lahore, Punjab 54770",https://www.google.com/maps/place/KeyDevs+Technologies+Pvt.+Ltd.+Lahore/data=!4m7!3m6!1s0x3919079800dc4e5d:0x981a8de27115c734!8m2!3d31.4642357!4d74.3014666!16s%2Fg%2F11rgzvg99q!19sChIJXU7cAJgHGTkRNMcVceKNGpg?authuser=0&hl=en&rclk=1
32,Lahore Software Solutions,https://www.lahoregraphicdesign.com/,Phone number 1 not found.,Phone number 2 not found.,Address not found.,https://www.google.com/maps/place/Lahore+Software+Solutions/data=!4m7!3m6!1s0x39190541de1ecfd1:0x8f5f8562f0d663cc!8m2!3d31.4829403!4d74.3343893!16s%2Fg%2F11hdfmnmlg!19sChIJ0c8e3kEFGTkRzGPW8GKFX48?authuser=0&hl=en&rclk=1
33,SoftBits- Software House / Web Hosting Company,http://www.softbits.net/,Phone number 1 not found.,(048) 6786794,"Sodiwal Road Sodhiwal Lahore Punjab, 54000",https://www.google.com/maps/place/SoftBits-+Software+House+%2F+Web+Hosting+Company/data=!4m7!3m6!1s0x39190379bef0fae7:0xc0917ab7e639eb0!8m2!3d31.5350552!4d74.283279!16s%2Fg%2F11f5t3n8kn!19sChIJ5_rwvnkDGTkRsJ5jfqsXCQw?authuser=0&hl=en&rclk=1
34,Red Code Technology | Software House | Lahore,https://redcodetechnology.com/,Phone number 1 not found.,Phone number 2 not found.,"F-30, Shama Plaza, Lahore – Kasur Rd, Ichhra Lahore, Punjab 54000",https://www.google.com/maps/place/Red+Code+Technology+%7C+Software+House+%7C+Lahore/data=!4m7!3m6!1s0x391905b92c7a8645:0x77c9f9111f7f035b!8m2!3d31.5393218!4d74.3185265!16s%2Fg%2F11sq24qw0x!19sChIJRYZ6LLkFGTkRWwN_HxH5yXc?authuser=0&hl=en&rclk=1
35,PKLogix Software House,https://pklogix.com/,Phone number 1 not found.,Phone number 2 not found.,"1, Mehran Block Allama Iqbal Town, Lahore, Punjab 54570",https://www.google.com/maps/place/PKLogix+Software+House/data=!4m7!3m6!1s0x391903937fd78dbb:0xcabae9f352b0b77d!8m2!3d31.5052321!4d74.2698608!16s%2Fg%2F11j0brplns!19sChIJu43Xf5MDGTkRfbewUvPpuso?authuser=0&hl=en&rclk=1
36,Esketchers,https://www.esketchers.com/?utm_source=google-gmb-maps&utm_medium=gmb-website-button&utm_campaign=locl.io&utm_content=2c9adb10-eaaa-457f-ba82-c48a3bf0ca79,+1 415-992-8033,Phone number 2 not found.,"39 Block Q, Phase 2 Johar Town, Lahore, Punjab 54782",https://www.google.com/maps/place/Esketchers/data=!4m7!3m6!1s0x391904518f730587:0xff6f7310fbe593f0!8m2!3d31.4600966!4d74.2694724!16s%2Fg%2F1wj_rnn3!19sChIJhwVzj1EEGTkR8JPl-xBzb_8?authuser=0&hl=en&rclk=1
37,Quantum LHE (Pvt.) Ltd.,http://www.quantumcph.com/,Phone number 1 not found.,Phone number 2 not found.,"Office #1, 8th Floor, Shaheen Complex, Egerton Rd, Garhi Shahu, Lahore, Punjab 54000",https://www.google.com/maps/place/Quantum+LHE+%28Pvt.%29+Ltd./data=!4m7!3m6!1s0x39191b4acf856dcb:0x8b68d4e18bb5f7e7!8m2!3d31.5629546!4d74.332918!16s%2Fg%2F11bxb9rb8g!19sChIJy22Fz0obGTkR5_e1i-HUaIs?authuser=0&hl=en&rclk=1
38,Bestosoft- The best software in lahore,http://www.bestosoft.co/,Phone number 1 not found.,0301 4836286,"G9C5+5G4, Block N Gulberg III, Lahore, Punjab",https://www.google.com/maps/place/Bestosoft-+The+best+software+in+lahore/data=!4m7!3m6!1s0x3919050e606f7415:0xde4c24f736a14fc8!8m2!3d31.5203906!4d74.3588167!16s%2Fg%2F11h58f9zx8!19sChIJFXRvYA4FGTkRyE-hNvckTN4?authuser=0&hl=en&rclk=1
39,Intagleo Systems,http://www.intagleo.com/,(042) 35708250,Phone number 2 not found.,"Q, 439, Sector Q DHA Phase 2, Lahore, Punjab 54792",https://www.google.com/maps/place/Intagleo+Systems/data=!4m7!3m6!1s0x39190f54f7369b63:0x2364e69ebdab1bc2!8m2!3d31.4846006!4d74.4091919!16s%2Fg%2F1tkb3hlp!19sChIJY5s291QPGTkRwhurvZ7mZCM?authuser=0&hl=en&rclk=1
40,Tanbits,http://www.tanbits.com/,(042) 32299234,Phone number 2 not found.,"412, G4, Johar Town, Lahore, 42000",https://www.google.com/maps/place/Tanbits/data=!4m7!3m6!1s0x391903aa525dbd73:0xe8a8ed8bf2d34e37!8m2!3d31.4758625!4d74.2705189!16s%2Fg%2F11np7sdxdf!19sChIJc71dUqoDGTkRN07T8ovtqOg?authuser=0&hl=en&rclk=1
41,Clustox,https://clustox.com/,(042) 32801668,Phone number 2 not found.,"157-M, Bhabra Gulberg III, Lahore, 54000",https://www.google.com/maps/place/Clustox/data=!4m7!3m6!1s0x3919045190746e17:0x635c482cfb96aa2e!8m2!3d31.490685!4d74.3409927!16s%2Fg%2F11bysjtz3g!19sChIJF250kFEEGTkRLqqW-yxIXGM?authuser=0&hl=en&rclk=1
42,Karma Software Solutions,https://karmasoftwaresolutions.com/,Phone number 1 not found.,Phone number 2 not found.,"Plot 655, Block B Faisal Town, Lahore, Punjab",https://www.google.com/maps/place/Karma+Software+Solutions/data=!4m7!3m6!1s0x3919057dc64bd733:0x227245100fbeed54!8m2!3d31.4763761!4d74.3023479!16s%2Fg%2F11qt44kn_f!19sChIJM9dLxn0FGTkRVO2-DxBFciI?authuser=0&hl=en&rclk=1
43,Square63,http://www.square63.com/,0331 4945905,Phone number 2 not found.,"34-XX DHA Phase III, Main Khayaban-e-Iqbal Road, Sector XX DHA Phase 3, Lahore, Punjab 54700",https://www.google.com/maps/place/Square63/data=!4m7!3m6!1s0x39190167fa097f73:0xe09409254da797c7!8m2!3d31.471141!4d74.363504!16s%2Fg%2F1wcxbgt0!19sChIJc38J-mcBGTkRx5enTSUJlOA?authuser=0&hl=en&rclk=1
44,Active House Technologies,https://activehousetech.com/,Phone number 1 not found.,Phone number 2 not found.,"IT Tower, Office # 19, 2nd Floor, Hali Rd, Block E 1 Gulberg III, Lahore, Punjab 54660",https://www.google.com/maps/place/Active+House+Technologies/data=!4m7!3m6!1s0x39190520d146700d:0x67ccc704b4ac4592!8m2!3d31.515556!4d74.3411068!16s%2Fg%2F11j8g6rz3x!19sChIJDXBG0SAFGTkRkkWstATHzGc?authuser=0&hl=en&rclk=1
45,First Idea Web Development (Pvt) Ltd. Domain Hosting Company | Web Development Software House,https://firstideaweb.com/,Phone number 1 not found.,Phone number 2 not found.,"office 1, 2nd floor, 91G, Phase 1 Lahore, 54000",https://www.google.com/maps/place/First+Idea+Web+Development+%28Pvt%29+Ltd.+Domain+Hosting+Company+%7C+Web+Development+Software+House/data=!4m7!3m6!1s0x391905fd2e7da175:0x9576a1d19fc157ca!8m2!3d31.4927041!4d74.3761274!16s%2Fg%2F11g9q8wq6s!19sChIJdaF9Lv0FGTkRylfBn9GhdpU?authuser=0&hl=en&rclk=1
46,Software Company,http://www.transmutegroup.com/,Phone number 1 not found.,Phone number 2 not found.,"7, E/3 Gulberg III, Lahore, Punjab 54660",https://www.google.com/maps/place/Software+Company/data=!4m7!3m6!1s0x3919055b6f1947e5:0xca561621113c6f78!8m2!3d31.5248584!4d74.329093!16s%2Fg%2F11hg5dltq8!19sChIJ5UcZb1sFGTkReG88ESEWVso?authuser=0&hl=en&rclk=1
47,AZ Software House,https://www.dmessages.com/,Phone number 1 not found.,Phone number 2 not found.,"Atto Asal, Lahore, Punjab 53100",https://www.google.com/maps/place/AZ+Software+House/data=!4m7!3m6!1s0x3919a95294418a6f:0xe451fa02804f6ea9!8m2!3d31.3075896!4d74.4038919!16s%2Fg%2F11j5q82xc1!19sChIJb4pBlFKpGTkRqW5PgAL6UeQ?authuser=0&hl=en&rclk=1
48,HISOFT,https://www.hisoft.pk/,Phone number 1 not found.,Phone number 2 not found.,"47, Mian Azhar Street، Addan Villas, Dera Hassan Rd, Lahore, 54000",https://www.google.com/maps/place/HISOFT/data=!4m7!3m6!1s0x39190fd4f6276b5f:0x5aa6e1f124a7419f!8m2!3d31.5761942!4d74.4647203!16s%2Fg%2F11cknc3tcv!19sChIJX2sn9tQPGTkRn0GnJPHhplo?authuser=0&hl=en&rclk=1
49,HazelSoft,https://hazelsoft.net/,Plus code: G86F+XR Lahore,Phone number 2 not found.,"Garden، 80-A New, Abu Bakar Block Town, Lahore, Punjab 54000",https://www.google.com/maps/place/HazelSoft/data=!4m7!3m6!1s0x391903f93f7e97b1:0x11adfbedd8736ed5!8m2!3d31.5123913!4d74.3245006!16s%2Fg%2F11bwkd_7z_!19sChIJsZd-P_kDGTkR1W5z2O37rRE?authuser=0&hl=en&rclk=1
50,Hashtag Solution - Software Development Company / SEO Agency in Pakistan,https://hashtagsolution.net/,Phone number 1 not found.,Phone number 2 not found.,"249-A, Block E 1 Phase 1 Johar Town, Lahore, Punjab 54000",https://www.google.com/maps/place/Hashtag+Solution+-+Software+Development+Company+%2F+SEO+Agency+in+Pakistan/data=!4m7!3m6!1s0x391903ddcd3c0f95:0xe5351c0f3ae2223e!8m2!3d31.4700457!4d74.2896495!16s%2Fg%2F11rq9kzkts!19sChIJlQ88zd0DGTkRPiLiOg8cNeU?authuser=0&hl=en&rclk=1
51,IOI Technologies Private Limited,https://ioitech.business.site/?utm_source=gmb&utm_medium=referral,0307 1444222,Phone number 2 not found.,"House 438, J 3 Block Block J 3 Phase 2 Johar Town, Lahore, Punjab 54000",https://www.google.com/maps/place/IOI+Technologies+Private+Limited/data=!4m7!3m6!1s0x391901b4f5bd7785:0xe94730b26ed322f9!8m2!3d31.4648512!4d74.2554951!16s%2Fg%2F11gmccktyl!19sChIJhXe99bQBGTkR-SLTbrIwR-k?authuser=0&hl=en&rclk=1
52,Best IT Solutions,https://webrole-technologies.business.site/,0333 5849688,Phone number 2 not found.,"Al Raheem Garden H# 174C, Near Quiad-e-Azam Interchange Wahga Road, Lahore, 54920",https://www.google.com/maps/place/Best+IT+Solutions/data=!4m7!3m6!1s0x391911d273620869:0xe593e355f1991a15!8m2!3d31.5970231!4d74.4395456!16s%2Fg%2F11mhfl2lpr!19sChIJaQhic9IRGTkRFRqZ8VXjk-U?authuser=0&hl=en&rclk=1
53,Alhuda Android Development Company Lahore,http://www.alhudacreatives.com/,Phone number 1 not found.,Plus code: H74V+FX Lahore,"near Chauburji, Sham Nagar Sanda, Lahore, Punjab 54000",https://www.google.com/maps/place/Alhuda+Android+Development+Company+Lahore/data=!4m7!3m6!1s0x3919033361907211:0x3343f582076722d!8m2!3d31.5562156!4d74.2949542!16s%2Fg%2F11pwwtm7qf!19sChIJEXKQYTMDGTkRLXJ2IFg_NAM?authuser=0&hl=en&rclk=1
54,IKS Logics,http://www.ikslogics.com/,(042) 32187959,Phone number 2 not found.,"F1, 12, Block F1 Block F 1 Phase 1 Johar Town, Lahore, Punjab 54782",https://www.google.com/maps/place/IKS+Logics/data=!4m7!3m6!1s0x3919013f04905629:0x7ecc2f035f8cbdec!8m2!3d31.4586494!4d74.2800836!16s%2Fg%2F11fsmfwtyv!19sChIJKVaQBD8BGTkR7L2MXwMvzH4?authuser=0&hl=en&rclk=1
